Densité;Portée (km);Type Graphe;Degré Moyen;Clustering Moyen;Nb Composantes;Top5 Tailles Composantes;Nb Cliques;Distr. Tailles Cliques;Moyenne Longueur Chemins;Diamètre (Max Chemin);Nb Chemins Calculés
Faible;20;Non Valué (Sauts);1.8;0.22607936507936507;39;[31 13 8 4 3];77;1:27 | 2:29 | 3:18 | 4:1 | 5:2;3.798977853492334;10.0;587
Faible;40;Non Valué (Sauts);11.42;0.5204658854961058;8;[91 3 1 1 1];147;1:6 | 2:9 | 3:13 | 4:8 | 5:16 | 6:36 | 7:26 | 8:16 | 9:6 | 10:1 | 11:7 | 12:3;2.8979990239141045;9.0;4098
Faible;60;Non Valué (Sauts);29.42;0.6723798097803951;4;[96 2 1 1];301;1:2 | 2:2 | 4:4 | 5:4 | 6:15 | 7:4 | 8:12 | 9:15 | 10:14 | 11:8 | 12:14 | 13:16 | 14:24 | 15:34 | 16:15 | 17:30 | 18:28 | 19:18 | 20:17 | 21:10 | 22:11 | 23:3 | 24:1;1.9217276912957684;5.0;4561
Faible;60;Valué (Coût Énergétique);29.42;0.6723798097803951;4;[96 2 1 1];301;1:2 | 2:2 | 4:4 | 5:4 | 6:15 | 7:4 | 8:12 | 9:15 | 10:14 | 11:8 | 12:14 | 13:16 | 14:24 | 15:34 | 16:15 | 17:30 | 18:28 | 19:18 | 20:17 | 21:10 | 22:11 | 23:3 | 24:1;2458060937.768737;9203966393.65295;4561
Moyenne;20;Non Valué (Sauts);3.46;0.3637140637140637;22;[63 10 4 2 2];83;1:15 | 2:25 | 3:24 | 4:11 | 5:1 | 6:5 | 7:2;5.165836653386454;16.0;2008
Moyenne;40;Non Valué (Sauts);16.84;0.6369519382726182;4;[97 1 1 1];171;1:3 | 2:1 | 3:5 | 4:4 | 5:18 | 6:10 | 7:27 | 8:22 | 9:13 | 10:19 | 11:19 | 12:11 | 13:5 | 14:8 | 15:5 | 16:1;2.7650343642611683;9.0;4656
Moyenne;60;Non Valué (Sauts);35.64;0.7280285622694811;2;[99 1];258;1:1 | 3:2 | 5:2 | 7:5 | 8:3 | 9:1 | 10:6 | 11:5 | 12:15 | 13:22 | 14:16 | 15:12 | 16:17 | 17:14 | 18:7 | 19:27 | 20:21 | 21:16 | 22:14 | 23:17 | 24:8 | 25:16 | 26:10 | 27:1;1.9245516388373531;6.0;4851
Moyenne;60;Valué (Coût Énergétique);35.64;0.7280285622694811;2;[99 1];258;1:1 | 3:2 | 5:2 | 7:5 | 8:3 | 9:1 | 10:6 | 11:5 | 12:15 | 13:22 | 14:16 | 15:12 | 16:17 | 17:14 | 18:7 | 19:27 | 20:21 | 21:16 | 22:14 | 23:17 | 24:8 | 25:16 | 26:10 | 27:1;1946170880.743823;7606390712.91379;4851
Forte;20;Non Valué (Sauts);3.72;0.39812099012099017;23;[61 8 5 3 2];85;1:15 | 2:20 | 3:20 | 4:20 | 5:10;4.0944;11.0;1875
Forte;40;Non Valué (Sauts);18.68;0.6650585170179751;4;[96 2 1 1];139;1:2 | 2:2 | 3:6 | 4:6 | 5:6 | 6:9 | 7:19 | 8:6 | 9:10 | 10:15 | 11:15 | 12:18 | 13:7 | 14:6 | 15:1 | 16:1 | 17:6 | 18:2 | 19:1 | 21:1;2.811006358254769;9.0;4561
Forte;60;Non Valué (Sauts);37.4;0.7280564598604693;2;[98 2];200;2:3 | 5:2 | 6:3 | 7:2 | 8:5 | 9:4 | 10:4 | 11:4 | 12:10 | 13:5 | 14:4 | 15:4 | 16:8 | 17:6 | 18:9 | 19:11 | 20:11 | 21:7 | 22:4 | 23:17 | 24:14 | 25:10 | 26:11 | 27:7 | 28:5 | 29:6 | 30:21 | 31:3;1.9808582246529238;8.0;4754
Forte;60;Valué (Coût Énergétique);37.4;0.7280564598604693;2;[98 2];200;2:3 | 5:2 | 6:3 | 7:2 | 8:5 | 9:4 | 10:4 | 11:4 | 12:10 | 13:5 | 14:4 | 15:4 | 16:8 | 17:6 | 18:9 | 19:11 | 20:11 | 21:7 | 22:4 | 23:17 | 24:14 | 25:10 | 26:11 | 27:7 | 28:5 | 29:6 | 30:21 | 31:3;2181262870.4991546;13922605381.708225;4754
